"Geregistreerde misdrijven en aangiften; soort misdrijf, gemeente 2026"
"Soort misdrijf: Totaal misdrijven"
""
"Onderwerp";"Geregistreerde misdrijven";"Geregistreerde misdrijven"
"Tynaarlo";"779";"685"
"Tytsjerksteradiel";"636";"710"
"Uitgeest";"450";"445"
"Uithoorn";"916";"1038"
"Urk";"455";"462"
"Utrecht (gemeente)";"24248";"25614"
"Utrechtse Heuvelrug";"1551";"1518"
"Vaals";"322";"305"
"Valkenburg aan de Geul";"848";"785"
"Valkenswaard";"1172";"1220"
"Veendam";"927";"1068"
"Veenendaal";"2228";"2325"
"Veere";"632";"639"
"Veldhoven";"1582";"1551"
"Velsen";"2747";"2721"
"Venlo";"5984";"6501"
"Venray";"1993";"1793"
"Vijfheerenlanden";"1637";"1795"
"Vlaardingen";"3843";"3605"
"Vlieland";"73";"93"
"Vlissingen";"2070";"2221"
"Voerendaal";"302";"259"
"Voorne aan Zee";"2604";"2372"
"Voorschoten";"736";"820"
"Voorst";"857";"724"
"Vught";"996";"1062"
"Waadhoeke";"1059";"1042"
"Waalre";"556";"491"
"Waalwijk";"1739";"1713"
"Waddinxveen";"966";"1066"
"Wageningen";"1316";"1421"
"Wassenaar";"1124";"1102"
"Waterland";"487";"466"
"Weert";"2154";"2204"
"West Betuwe";"1721";"1589"
"West Maas en Waal";"462";"499"
"Westerkwartier";"1425";"1408"
"Westerveld";"317";"366"
"Westervoort";"430";"391"
"Westerwolde";"1163";"1347"
"Westland";"4304";"3898"
"Weststellingwerf";"652";"609"
"Wierden";"715";"596"
"Wijchen";"1424";"1313"
"Wijdemeren";"610";"598"
"Wijk bij Duurstede";"431";"438"
"Winterswijk";"1198";"1005"
"Woensdrecht";"701";"734"
"Woerden";"2015";"2049"
"De Wolden";"466";"467"
"Wormerland";"426";"368"
"Woudenberg";"385";"385"
"Zaanstad";"7008";"7209"
"Zaltbommel";"1168";"1132"
"Zandvoort";"1202";"1157"
"Zeewolde";"760";"659"
"Zeist";"2430";"2378"
"Zevenaar";"1327";"1217"
"Zoetermeer";"5843";"5583"
"Zoeterwoude";"267";"264"
"Zuidplas";"1532";"1549"
"Zundert";"652";"567"
"Zutphen";"2574";"2613"
"Zwartewaterland";"514";"442"
"Zwijndrecht";"1598";"1689"
"Zwolle";"6895";"6911"
"Buitenland";".";"."
"Gemeenten; niet in te delen";"271";"282"
"Noord-Nederland (RE)";"63489";"64455"
"Oost-Nederland (RE)";"127470";"122522"
"Midden-Nederland (RE)";"84800";"87518"
"Noord-Holland (RE)";"64277";"65306"
"Amsterdam (RE)";"84926";"90229"
"Den Haag (RE)";"94091";"93770"
"Rotterdam (RE)";"96111";"96870"
"Zeeland - West-Brabant (RE)";"66820";"65880"
"Oost-Brabant (RE)";"65008";"66337"
"Limburg (RE)";"52764";"52421"
"Niet in te delen (RE)";"271";"282"
"Bron: Politie"
