"Vermogen van huishoudens; huishoudenskenmerken, regio (indeling 2025)"
"Kenmerken van huishoudens: Particuliere huishoudens"
"Perioden: 2024*"
"";"Onderwerp"
"";"Particuliere huishoudens";"Particuliere huishoudens relatief ";"Totaal vermogen";"Gemiddeld vermogen";"Mediaan vermogen"
"Regio's";"x 1 000";"%";"mld euro";"1 000 euro";"1 000 euro"
"Nijmegen";"100,4";"100";"21,0";"209,4";"21,4"
"Nissewaard";"39,5";"100";"7,3";"185,0";"100,9"
"Noardeast-Fryslân";"20,1";"100";"5,9";"292,7";"169,3"
"Noord-Beveland";"3,9";"100";"1,5";"376,9";"178,5"
"Noordenveld";"14,3";"100";"5,7";"394,7";"250,7"
"Noordoostpolder";"21,0";"100";"7,9";"374,4";"153,6"
"Noordwijk";"20,8";"100";"11,6";"557,4";"249,2"
"Nuenen, Gerwen en Nederwetten";"10,6";"100";"5,6";"532,1";"362,0"
"Nunspeet";"11,6";"100";"4,9";"427,5";"240,2"
"Oegstgeest";"11,1";"100";"7,2";"652,6";"375,8"
"Oirschot";"8,1";"100";"4,8";"591,6";"405,4"
"Oisterwijk";"14,4";"100";"9,5";"661,9";"316,5"
"Oldambt";"18,8";"100";"4,5";"240,2";"117,2"
"Oldebroek";"9,6";"100";"3,5";"363,5";"234,1"
"Oldenzaal";"14,3";"100";"4,7";"328,6";"171,0"
"Olst-Wijhe";"8,0";"100";"3,2";"407,4";"254,0"
"Ommen";"8,0";"100";"3,6";"450,6";"267,8"
"Oost Gelre";"12,8";"100";"4,2";"331,0";"199,4"
"Oosterhout";"26,2";"100";"8,9";"339,1";"158,9"
"Ooststellingwerf";"11,6";"100";"3,6";"310,0";"181,5"
"Oostzaan";"4,1";"100";"2,0";"479,2";"350,9"
"Opmeer";"5,3";"100";"2,1";"407,8";"258,9"
"Opsterland";"12,8";"100";"4,5";"352,1";"217,9"
"Oss";"42,4";"100";"14,1";"331,4";"172,1"
"Oude IJsselstreek";"17,4";"100";"5,7";"327,4";"183,0"
"Ouder-Amstel";"6,6";"100";"3,7";"560,3";"235,8"
"Oudewater";"4,4";"100";"3,0";"691,1";"287,8"
"Overbetuwe";"20,4";"100";"7,5";"365,0";"236,0"
"Papendrecht";"14,3";"100";"4,2";"296,5";"177,6"
"Peel en Maas";"19,9";"100";"7,9";"396,5";"230,4"
"Pekela";"5,7";"100";"0,9";"162,1";"76,9"
"Pijnacker-Nootdorp";"22,7";"100";"10,8";"476,6";"323,0"
"Purmerend";"43,0";"100";"12,6";"293,3";"185,7"
"Putten";"10,1";"100";"5,6";"555,7";"318,3"
"Raalte";"16,3";"100";"6,8";"414,7";"278,7"
