"Vermogen van huishoudens; huishoudenskenmerken, regio (indeling 2025)"
"Kenmerken van huishoudens: Particuliere huishoudens"
"Perioden: 2022"
"";"Onderwerp"
"";"Particuliere huishoudens";"Particuliere huishoudens relatief ";"Totaal vermogen";"Gemiddeld vermogen";"Mediaan vermogen"
"Regio's";"x 1 000";"%";"mld euro";"1 000 euro";"1 000 euro"
"Heusden";"19,6";"100";"7,4";"378,9";"227,9"
"Hillegom";"10,0";"100";"3,5";"346,7";"221,4"
"Hilvarenbeek";"6,7";"100";"3,5";"526,0";"387,3"
"Hilversum";"43,0";"100";"17,0";"394,7";"166,1"
"Hoeksche Waard";"37,9";"100";"14,8";"391,3";"205,4"
"Hof van Twente";"15,0";"100";"6,2";"414,5";"211,2"
"Het Hogeland";"21,7";"100";"6,1";"283,4";"146,7"
"Hollands Kroon";"21,3";"100";"7,6";"359,3";"188,8"
"Hoogeveen";"24,4";"100";"5,5";"224,3";"116,4"
"Hoorn";"33,8";"100";"9,3";"274,1";"156,3"
"Horst aan de Maas";"18,5";"100";"7,1";"381,0";"239,0"
"Houten";"20,6";"100";"8,8";"427,7";"315,4"
"Huizen";"18,6";"100";"9,0";"483,6";"215,8"
"Hulst";"12,7";"100";"4,4";"345,4";"217,7"
"IJsselstein";"14,3";"100";"5,0";"349,1";"224,4"
"Kaag en Braassem";"12,0";"100";"6,2";"514,0";"268,3"
"Kampen";"22,5";"100";"6,2";"273,9";"148,4"
"Kapelle";"5,4";"100";"1,9";"361,2";"230,4"
"Katwijk";"26,8";"100";"10,8";"402,0";"246,5"
"Kerkrade";"22,9";"100";"2,9";"125,3";"51,9"
"Koggenland";"9,5";"100";"4,2";"438,9";"288,0"
"Krimpen aan den IJssel";"12,4";"100";"4,3";"348,1";"170,0"
"Krimpenerwaard";"24,0";"100";"10,0";"414,7";"221,2"
"Laarbeek";"9,7";"100";"3,9";"401,7";"255,4"
"Land van Cuijk";"38,9";"100";"14,0";"359,1";"217,1"
"Landgraaf";"17,6";"100";"3,1";"177,8";"106,8"
"Landsmeer";"4,9";"100";"2,8";"585,0";"380,2"
"Lansingerland";"24,6";"100";"13,0";"526,2";"299,9"
"Laren (NH.)";"5,1";"100";"9,5";"1883,5";"633,7"
"Leeuwarden";"63,5";"100";"11,3";"178,0";"60,0"
"Leiden";"67,3";"100";"17,2";"255,8";"26,5"
"Leiderdorp";"12,5";"100";"4,7";"377,0";"236,2"
"Leidschendam-Voorburg";"36,5";"100";"13,7";"376,5";"165,9"
"Lelystad";"35,6";"100";"7,0";"197,2";"116,1"
"Leudal";"15,8";"100";"5,9";"376,2";"243,2"
"Leusden";"13,3";"100";"5,8";"439,4";"293,8"
"Lingewaard";"19,9";"100";"6,8";"341,8";"233,4"
"Lisse";"10,2";"100";"3,9";"383,7";"231,4"
"Lochem";"15,0";"100";"8,1";"540,0";"287,1"
"Loon op Zand";"10,3";"100";"3,6";"349,0";"190,9"
"Lopik";"5,7";"100";"2,9";"505,7";"326,3"
"Losser";"9,6";"100";"3,4";"358,3";"192,6"
"Maasdriel";"10,9";"100";"4,8";"437,9";"231,0"
"Maasgouw";"10,7";"100";"3,4";"320,7";"223,6"
"Maashorst";"25,3";"100";"9,9";"392,3";"228,0"
"Maassluis";"15,3";"100";"3,4";"219,7";"105,2"
"Maastricht";"62,9";"100";"12,6";"200,2";"21,1"
"Medemblik";"19,3";"100";"7,3";"377,8";"240,1"
"Meerssen";"8,5";"100";"3,0";"351,1";"231,7"
"Meierijstad";"35,5";"100";"14,9";"420,9";"250,1"
"Meppel";"15,8";"100";"3,7";"234,1";"113,7"
"Middelburg (Z.)";"23,1";"100";"5,8";"251,6";"122,5"
"Midden-Delfland";"8,0";"100";"5,0";"628,4";"354,7"
"Midden-Drenthe";"14,7";"100";"4,5";"308,0";"187,2"
"Midden-Groningen";"28,0";"100";"5,9";"209,3";"98,9"
"Moerdijk";"16,5";"100";"5,3";"321,3";"164,2"
"Molenlanden";"17,2";"100";"9,6";"558,6";"257,3"
"Montferland";"15,9";"100";"4,7";"296,6";"160,7"
"Montfoort";"5,7";"100";"3,2";"554,5";"300,4"
"Mook en Middelaar";"3,6";"100";"2,0";"543,9";"277,1"
"Neder-Betuwe";"9,4";"100";"3,4";"362,7";"173,8"
"Nederweert";"7,5";"100";"3,1";"409,3";"260,1"
"Nieuwegein";"30,0";"100";"6,8";"228,0";"142,8"
