"Geregistreerde misdrijven en aangiften; soort misdrijf, gemeente 2026"
"Soort misdrijf: Totaal misdrijven"
""
"Onderwerp";"Geregistreerde misdrijven"
"Zeewolde";"695"
"Zeist";"2117"
"Zevenaar";"1285"
"Zoetermeer";"5499"
"Zoeterwoude";"230"
"Zuidplas";"1721"
"Zundert";"497"
"Zutphen";"2253"
"Zwartewaterland";"446"
"Zwijndrecht";"1599"
"Zwolle";"7026"
"Buitenland";"."
"Gemeenten; niet in te delen";"202"
"Noord-Nederland (RE)";"62381"
"Oost-Nederland (RE)";"122993"
"Midden-Nederland (RE)";"86824"
"Noord-Holland (RE)";"64901"
"Amsterdam (RE)";"91736"
"Den Haag (RE)";"94937"
"Rotterdam (RE)";"98405"
"Zeeland - West-Brabant (RE)";"65365"
"Oost-Brabant (RE)";"65062"
"Limburg (RE)";"52753"
"Niet in te delen (RE)";"202"
"Bron: Politie"
